Date/Time,Electricity:Facility [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 06/22  07:00:00,70797.94054963952,70797.94054963952,438786.21673545087,438786.21673545087,2477803.8369978156,1797877.778146138,0.0,422920.1555375736,299646.29635768968,0.0 
 06/22  07:10:00,69726.32519094268,69726.32519094268,,,,,,427338.06011339338,291137.31191314329,0.0 
 06/22  07:20:00,68478.97039376175,68478.97039376175,,,,,,433973.30165981248,291137.31191314329,0.0 
 06/22  07:30:00,67504.56871194203,67504.56871194203,,,,,,440131.032746766,291137.31191314329,0.0 
 06/22  07:40:00,66777.5200212195,66777.5200212195,,,,,,445907.5687455167,291137.31191314329,0.0 
 06/22  07:50:00,65912.80284662104,65912.80284662104,,,,,,451143.51477942886,291137.31191314329,0.0 
 06/22  08:00:00,64967.790363104024,64967.790363104024,403367.977527591,403367.977527591,2654411.038171646,1746823.8714788599,0.0,455917.56012672898,291137.31191314329,0.0 
 06/22  08:10:00,63677.821489259186,63677.821489259186,,,,,,312013.19578535857,70657.08186714922,0.0 
 06/22  08:20:00,62386.22983763296,62386.22983763296,,,,,,312368.4745085595,70657.08186714922,0.0 
 06/22  08:30:00,61093.44365698246,61093.44365698246,,,,,,314141.1303467032,70657.08186714922,0.0 
 06/22  08:40:00,59867.70224451398,59867.70224451398,,,,,,315985.1416143635,70657.08186714922,0.0 
 06/22  08:50:00,58647.94916621333,58647.94916621333,,,,,,319083.7542196501,70657.08186714922,0.0 
 06/22  09:00:00,57435.23854539242,57435.23854539242,363108.3849399943,363108.3849399943,1894681.413145613,423942.4912028953,0.0,321089.716670978,70657.08186714922,0.0 
 06/22  09:10:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  09:20:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  09:30:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  09:40:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  09:50:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/22  10:10:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  10:20:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  10:30:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  10:40:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  10:50:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/22  11:10:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  11:20:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  11:30:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  11:40:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  11:50:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/22  12:10:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  12:20:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  12:30:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  12:40:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  12:50:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/22  13:10:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  13:20:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  13:30:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  13:40:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  13:50:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/22  14:10:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  14:20:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  14:30:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  14:40:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  14:50:00,0.0,0.0,,,,,,0.0,0.0,0.0 
 06/22  15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/22  15:10:00,0.0,0.0,,,,,,200422.64468742294,0.0,0.0 
 06/22  15:20:00,0.0,0.0,,,,,,193366.41169821123,0.0,0.0 
 06/22  15:30:00,0.0,0.0,,,,,,186813.8682675713,0.0,0.0 
 06/22  15:40:00,0.0,0.0,,,,,,173212.78080769554,0.0,0.0 
 06/22  15:50:00,0.0,0.0,,,,,,163172.07363175517,0.0,0.0 
 06/22  16:00:00,0.0,0.0,0.0,0.0,1075131.4808327102,0.0,0.0,158143.70174005407,0.0,0.0 
 06/22  16:10:00,0.0,0.0,,,,,,627880.3930862239,0.0,0.0 
 06/22  16:20:00,0.0,0.0,,,,,,624959.7150030828,0.0,0.0 
