time,G(i),H_sun,T2m,WS10m,Int
20160108:1809,0.0,0.0,12.82,1.5,0.0
20160108:1909,0.0,0.0,12.31,1.24,0.0
20160108:2009,0.0,0.0,11.8,0.98,0.0
20160108:2109,0.0,0.0,11.29,0.72,0.0
20160108:2209,0.0,0.0,11.29,1.21,0.0
20160108:2309,0.0,0.0,11.29,1.7,0.0
20160109:0009,0.0,0.0,11.3,2.19,0.0
20160109:0109,0.0,0.0,10.99,2.35,0.0
20160109:0209,0.0,0.0,10.68,2.51,0.0
20160109:0309,0.0,0.0,10.38,2.68,0.0
20160109:0409,0.0,0.0,10.24,3.09,0.0
20160109:0509,0.0,0.0,10.1,3.5,0.0
20160109:0609,14.0,4.13,9.97,3.92,0.0
20160109:0709,187.01,13.51,11.03,4.36,0.0
20160109:0809,336.01,21.33,12.09,4.81,0.0
20160109:0909,427.01,26.94,13.15,5.26,0.0
20160109:1009,480.01,29.73,13.99,5.42,0.0
20160109:1109,464.01,29.28,14.82,5.58,0.0
20160109:1209,344.01,25.67,15.66,5.74,0.0
20160109:1309,190.0,19.39,15.22,5.55,0.0
20160109:1409,162.01,11.1,14.78,5.36,0.0
20160109:1509,0.0,0.0,14.34,5.17,0.0
20160109:1609,0.0,0.0,13.68,5.2,0.0
20160109:1709,0.0,0.0,13.02,5.22,0.0
20160109:1809,0.0,0.0,12.36,5.24,0.0
20160109:1909,0.0,0.0,12.12,5.26,0.0
20160109:2009,0.0,0.0,11.89,5.27,0.0
20160109:2109,0.0,0.0,11.65,5.28,0.0
20160109:2209,0.0,0.0,11.76,5.16,0.0
20160109:2309,0.0,0.0,11.87,5.04,0.0
20160110:0009,0.0,0.0,11.99,4.92,0.0
20160110:0109,0.0,0.0,11.77,4.89,0.0
20160110:0209,0.0,0.0,11.56,4.86,0.0
20160110:0309,0.0,0.0,11.35,4.83,0.0
20160110:0409,0.0,0.0,11.5,4.97,0.0
20160110:0509,0.0,0.0,11.65,5.11,0.0
20160110:0609,9.0,4.16,11.81,5.26,0.0
20160110:0709,33.0,13.57,12.6,5.8,0.0
20160110:0809,35.0,21.41,13.39,6.35,0.0
20160110:0909,158.0,27.05,14.18,6.9,0.0
20160110:1009,69.0,29.87,14.6,6.79,0.0
20160110:1109,116.0,29.44,15.02,6.69,0.0
20160110:1209,189.0,25.84,15.44,6.58,0.0
20160110:1309,103.0,19.57,14.92,6.15,0.0
20160110:1409,114.0,11.27,14.41,5.72,0.0
20160110:1509,0.0,0.0,13.89,5.3,0.0
20160110:1609,0.0,0.0,13.32,5.69,0.0
20160110:1709,0.0,0.0,12.76,6.08,0.0
20160110:1809,0.0,0.0,12.2,6.47,0.0
20160110:1909,0.0,0.0,11.86,6.61,0.0
20160110:2009,0.0,0.0,11.52,6.74,0.0
20160110:2109,0.0,0.0,11.18,6.88,0.0
20160110:2209,0.0,0.0,11.39,6.85,0.0
20160110:2309,0.0,0.0,11.6,6.82,0.0
20160111:0009,0.0,0.0,11.82,6.79,0.0
20160111:0109,0.0,0.0,11.6,6.57,0.0
20160111:0209,0.0,0.0,11.38,6.34,0.0
20160111:0309,0.0,0.0,11.17,6.12,0.0
20160111:0409,0.0,0.0,11.22,6.07,0.0
20160111:0509,0.0,0.0,11.28,6.01,0.0
20160111:0609,3.0,4.2,11.34,5.96,0.0
20160111:0709,66.0,13.63,12.77,5.75,0.0
20160111:0809,139.0,21.5,14.2,5.54,0.0
20160111:0909,118.0,27.17,15.63,5.34,0.0
20160111:1009,219.0,30.01,16.35,5.33,0.0
20160111:1109,462.01,29.6,17.06,5.33,0.0
20160111:1209,400.01,26.02,17.78,5.32,0.0
20160111:1309,302.01,19.74,17.24,5.57,0.0
20160111:1409,127.0,11.44,16.7,5.81,0.0
20160111:1509,0.0,0.0,16.16,6.06,0.0
20160111:1609,0.0,0.0,15.11,6.17,0.0
20160111:1709,0.0,0.0,14.06,6.28,0.0
20160111:1809,0.0,0.0,13.02,6.39,0.0
20160111:1909,0.0,0.0,12.57,6.41,0.0
20160111:2009,0.0,0.0,12.12,6.43,0.0
20160111:2109,0.0,0.0,11.67,6.46,0.0
20160111:2209,0.0,0.0,11.7,6.44,0.0
20160111:2309,0.0,0.0,11.73,6.43,0.0
20160112:0009,0.0,0.0,11.77,6.41,0.0
20160112:0109,0.0,0.0,12.0,7.15,0.0
20160112:0209,0.0,0.0,12.23,7.88,0.0
20160112:0309,0.0,0.0,12.47,8.62,0.0
20160112:0409,0.0,0.0,12.47,8.64,0.0
20160112:0509,0.0,0.0,12.47,8.67,0.0
20160112:0609,15.0,4.25,12.48,8.69,0.0
20160112:0709,125.8,13.7,13.7,8.69,1.0
20160112:0809,176.0,21.59,14.93,8.7,0.0
20160112:0909,465.01,27.29,16.15,8.7,0.0
20160112:1009,495.01,30.16,16.75,8.8,0.0
20160112:1109,495.01,29.77,17.35,8.89,0.0
20160112:1209,428.01,26.2,17.95,8.98,0.0
20160112:1309,299.0,19.92,17.49,8.98,0.0
20160112:1409,131.01,11.62,17.04,8.98,0.0
20160112:1509,0.0,0.0,16.58,8.98,0.0
20160112:1609,0.0,0.0,15.86,8.68,0.0
20160112:1709,0.0,0.0,15.14,8.39,0.0
20160112:1809,0.0,0.0,14.42,8.1,0.0
20160112:1909,0.0,0.0,14.17,7.81,0.0
20160112:2009,0.0,0.0,13.93,7.52,0.0
20160112:2109,0.0,0.0,13.68,7.23,0.0
20160112:2209,0.0,0.0,13.65,6.95,0.0
20160112:2309,0.0,0.0,13.62,6.68,0.0
20160113:0009,0.0,0.0,13.59,6.4,0.0
20160113:0109,0.0,0.0,13.01,6.06,0.0
20160113:0209,0.0,0.0,12.43,5.72,0.0
20160113:0309,0.0,0.0,11.85,5.38,0.0
20160113:0409,0.0,0.0,11.85,5.66,0.0
20160113:0509,0.0,0.0,11.85,5.95,0.0
20160113:0609,20.0,4.3,11.85,6.23,0.0
20160113:0709,135.01,13.78,12.68,6.64,0.0
20160113:0809,115.0,21.69,13.51,7.05,0.0
20160113:0909,409.01,27.42,14.34,7.46,0.0
20160113:1009,402.01,30.32,14.52,7.71,0.0
20160113:1109,496.01,29.95,14.71,7.95,0.0
20160113:1209,390.01,26.38,14.89,8.19,0.0
20160113:1309,316.01,20.11,14.4,7.81,0.0
20160113:1409,160.01,11.8,13.91,7.42,0.0
20160113:1509,0.0,0.0,13.42,7.03,0.0
20160113:1609,0.0,0.0,12.82,6.97,0.0
20160113:1709,0.0,0.0,12.23,6.91,0.0
20160113:1809,0.0,0.0,11.64,6.84,0.0
20160113:1909,0.0,0.0,11.35,6.87,0.0
20160113:2009,0.0,0.0,11.07,6.9,0.0
20160113:2109,0.0,0.0,10.79,6.92,0.0
20160113:2209,0.0,0.0,10.71,6.95,0.0
20160113:2309,0.0,0.0,10.63,6.97,0.0
20160114:0009,0.0,0.0,10.56,6.99,0.0
20160114:0109,0.0,0.0,10.37,7.19,0.0
20160114:0209,0.0,0.0,10.18,7.38,0.0
20160114:0309,0.0,0.0,9.99,7.57,0.0
20160114:0409,0.0,0.0,9.71,7.61,0.0
20160114:0509,0.0,0.0,9.44,7.65,0.0
20160114:0609,17.0,4.36,9.17,7.68,0.0
20160114:0709,193.01,13.86,10.58,7.67,0.0
20160114:0809,345.01,21.8,12.0,7.66,0.0
20160114:0909,447.01,27.56,13.41,7.66,0.0
20160114:1009,506.01,30.48,13.87,7.18,0.0
20160114:1109,507.01,30.14,14.32,6.7,0.0
20160114:1209,432.01,26.58,14.78,6.22,0.0
20160114:1309,322.01,20.3,14.41,5.38,0.0
20160114:1409,164.01,11.99,14.03,4.54,0.0
20160114:1509,0.0,0.0,13.66,3.7,0.0
20160114:1609,0.0,0.0,13.13,3.07,0.0
20160114:1709,0.0,0.0,12.6,2.45,0.0
20160114:1809,0.0,0.0,12.08,1.82,0.0
20160114:1909,0.0,0.0,11.63,2.27,0.0
20160114:2009,0.0,0.0,11.19,2.72,0.0
20160114:2109,0.0,0.0,10.75,3.17,0.0
20160114:2209,0.0,0.0,10.51,3.83,0.0
20160114:2309,0.0,0.0,10.27,4.48,0.0
20160115:0009,0.0,0.0,10.04,5.13,0.0
20160115:0109,0.0,0.0,9.59,5.17,0.0
20160115:0209,0.0,0.0,9.14,5.2,0.0
20160115:0309,0.0,0.0,8.7,5.24,0.0
20160115:0409,0.0,0.0,8.61,5.44,0.0
20160115:0509,0.0,0.0,8.52,5.64,0.0
20160115:0609,10.0,4.43,8.43,5.83,0.0
20160115:0709,62.0,13.94,9.91,6.32,0.0
20160115:0809,162.0,21.91,11.4,6.81,0.0
20160115:0909,454.01,27.71,12.88,7.3,0.0
20160115:1009,449.01,30.65,13.4,7.62,0.0
