Date/Time,T_out,Cooling Power,Heating Power,avg_T_in,Power
 09/08  02:30:00,27.22222222,0.022840295310047554,0.0,24.989293978890966,0.029931585267980888
 09/08  02:40:00,27.22222222,0.022829668617364778,0.0,24.98902787879257,0.029920958575298112
 09/08  02:50:00,27.22222222,0.022814934514160053,0.0,24.9887708629692,0.029906224472093387
 09/08  03:00:00,27.22222222,0.02279680932915789,0.0,24.9885181166118,0.029888099287091224
 09/08  03:10:00,27.037037035,0.02163549762683889,0.0,24.988144459244,0.028726787584772224
 09/08  03:20:00,26.85185185,0.020460143002427277,0.0,24.987753664301298,0.02755143296036061
 09/08  03:30:00,26.666666665,0.019269398155666445,0.0,24.9873415387098,0.02636068811359978
 09/08  03:40:00,26.48148148,0.01806385373248661,0.0,24.986886051277697,0.025155143690419945
 09/08  03:50:00,26.296296295,0.016845037496359166,0.0,24.9863799555884,0.0239363274542925
 09/08  04:00:00,26.11111111,0.015613770498079667,0.0,24.985806819216933,0.022705060456013
 09/08  04:10:00,26.11111111,0.01552704816132614,0.0,24.9853140664566,0.022618338119259472
 09/08  04:20:00,26.11111111,0.015437067337348,0.0,24.984770086349698,0.022528357295281333
 09/08  04:30:00,26.11111111,0.015347118114839443,0.0,24.984199045778297,0.022438408072772777
 09/08  04:40:00,26.11111111,0.015259632515000832,0.0,24.9836196313781,0.022350922472934166
 09/08  04:50:00,26.11111111,0.015177080400012944,0.0,24.983061846792534,0.02226837035794628
 09/08  05:00:00,26.11111111,0.015100232217146278,0.0,24.982533330111,0.022191522175079612
 09/08  05:10:00,26.11111111,0.018518966736495557,0.0,24.9838260784684,0.032327340027762226
 09/08  05:20:00,26.11111111,0.01853619951088097,0.0,24.984320146928535,0.032344572802147635
 09/08  05:30:00,26.11111111,0.018540234334862363,0.0,24.98472421593843,0.03234860762612903
 09/08  05:40:00,26.11111111,0.018544627671994,0.0,24.985109581217632,0.032353000963260665
 09/08  05:50:00,26.11111111,0.018550589602573723,0.0,24.985498844149166,0.03235896289384039
 09/08  06:00:00,26.11111111,0.018557589812629085,0.0,24.98588781175493,0.03236596310389575
 09/08  06:10:00,26.2037037025,0.13268857634210832,0.0,25.004538895880433,0.301115856006425
 09/08  06:20:00,26.296296295,0.13444298418128806,0.0,25.014108018836367,0.3028702638456047
 09/08  06:30:00,26.3888888875,0.13561802126615,0.0,25.023021460499667,0.30404530093046667
 09/08  06:40:00,26.48148148,0.13675909428324276,0.0,25.031570656657134,0.30518637394755943
 09/08  06:50:00,26.5740740725,0.1379958922410739,0.0,25.04035898194907,0.3064231719053906
 09/08  07:00:00,26.666666665,0.13934825239736445,0.0,25.0495271312233,0.3077755320616811
 09/08  07:10:00,26.8518518508333,0.14520710214582028,0.0,25.059673935955498,0.31871789231248693
